Date;coke;pep;apple;micro
16/02/2001;33.83210373;13.82442379;26.8125;1.67256093
20/02/2001;34.01737213;13.87288284;28.3125;1.681957483
21/02/2001;33.60058594;14.25197792;29.375;1.653768301
22/02/2001;33.29557419;14.23772717;26.375;1.639673591
23/02/2001;33.34088898;13.93844128;25.5625;1.691353679
26/02/2001;33.62778091;14.02394581;25.25;1.794714212
27/02/2001;34.12607956;13.85863018;21.875;1.738335848
28/02/2001;34.05059433;13.96409321;22.75;1.724241376
01/03/2001;33.09929276;14.20352459;22;1.67256093
02/03/2001;33.6217308;14.16076565;20.5;1.747732162
05/03/2001;33.88447189;13.95838833;20.9375;1.743034124
06/03/2001;33.89957809;13.68760681;20.625;1.738335848
07/03/2001;34.10494232;13.43391705;19.9375;1.771223426
08/03/2001;35.39146805;13.82442379;20;1.851092815
09/03/2001;35.15589905;13.61349583;19.375;1.851092815
12/03/2001;33.76367188;13.4510107;17.375;1.76652503
13/03/2001;32.52547836;13.6476984;18.6875;1.82760191
14/03/2001;32.46810532;13.19163227;17.125;1.78061986
15/03/2001;32.99056244;13.19163227;17.5625;1.76652503
16/03/2001;32.0150795;12.82678604;17.8125;1.747732162
19/03/2001;32.61001968;12.75552273;17;1.75243032
20/03/2001;31.78255463;12.34221554;16.3125;1.747732162
21/03/2001;31.29633331;12.54173946;15.875;1.719543099
22/03/2001;30.74670219;12.39352417;16.875;1.76652503
23/03/2001;30.72856331;12.39352417;16.375;1.785317659
26/03/2001;31.41712952;12.61300087;15.625;1.799412251
27/03/2001;31.83388519;12.76407337;16.875;1.822903395
28/03/2001;31.65872192;12.97785091;15.75;1.86048913
29/03/2001;31.04567337;13.25434113;15.3125;1.82760191
30/03/2001;31.3778801;13.4510107;15.75;1.82760191
02/04/2001;30.81916809;13.22584057;15.5;1.808808565
03/04/2001;30.17289734;12.8039856;13.1875;1.76652503
04/04/2001;29.78330803;12.94935131;11.5625;1.733637691
05/04/2001;31.17554665;13.42536831;11.5;1.696052074
06/04/2001;30.80407524;13.47667122;12.0625;1.696052074
09/04/2001;31.58323097;13.80162048;12.94999981;1.676319599
10/04/2001;32.78821945;13.80162239;15.10000038;1.70488441
11/04/2001;32.25669479;13.45235634;14.27999973;1.721422315
12/04/2001;32.53454208;13.07446861;16.79000092;1.721422315
16/04/2001;33.36503601;13.32352829;19;1.803358793
17/04/2001;32.88787842;13.48384666;19;1.879281998
18/04/2001;35.0320816;13.42372227;19.10000038;2.017597198
19/04/2001;35.18307877;13.08877563;19.20000076;1.996549129
20/04/2001;33.97507858;12.9084177;20;1.952198267
23/04/2001;35.12269974;12.75096607;20.20000076;1.936411977
24/04/2001;35.0653038;12.71947765;19.43000031;1.980763078
25/04/2001;35.34314346;13.02866268;19.12999916;1.963473916
26/04/2001;35.5847435;12.84257984;18.31999969;1.982266545
27/04/2001;35.93203735;13.16321373;19.04000092;2.027369022
30/04/2001;35.94110107;13.27772141;19.20000076;2.049169064
01/05/2001;35.48810577;13.11168766;19.75;2.134864092
02/05/2001;35.19818878;12.98857689;19.79999924;2.086003304
03/05/2001;35.56058121;13.11454868;19.37000084;2.031879425
04/05/2001;36.23706055;13.33784389;19.70999908;2.0198524
07/05/2001;35.60588074;13.45521927;19.25;2.067210197
08/05/2001;35.14080811;13.65561962;19.34000015;2.049169064
09/05/2001;35.31293488;13.84455967;20.40999985;2.179215193
10/05/2001;35.64814758;13.77013111;20;2.22507
11/05/2001;35.44883728;14.102211;19.80999947;2.15741539
14/05/2001;35.72668457;14.27112007;19.63999939;2.124340773
15/05/2001;35.68138504;14.74348164;19.79999924;2.04841733
16/05/2001;38.28998184;15.40192604;20;2.1235888
17/05/2001;37.74383545;15.37329483;20.64999962;2.186732292
18/05/2001;37.54248428;15.1786375;22.89999962;2.134112358
21/05/2001;37.55469131;15.24733925;25.14999962;2.191242695
22/05/2001;36.91704941;15.15859318;25.25;2.264910221
23/05/2001;36.80718994;15.14427567;23.5;2.338578701
24/05/2001;36.30072784;14.86945248;26.89999962;2.533272505
25/05/2001;36.23666;14.71485996;25.60000038;2.576871395
29/05/2001;36.53565216;14.70054722;25.25;2.528009892
30/05/2001;35.80342484;14.73775959;25;2.441563368
31/05/2001;36.17869949;14.88090324;24.78000069;2.560333729
01/06/2001;36.43192673;14.77783871;25.39999962;2.672339201
04/06/2001;36.61193085;14.84081745;25.76000023;2.640015602
05/06/2001;37.06958771;15.12996292;25.29999924;2.648284197
06/06/2001;37.09706116;14.80074215;23.17000008;2.788102865
07/06/2001;37.16112518;14.78642559;24.55999947;2.998582363
08/06/2001;36.64549637;14.74921036;23.75;2.912886858
11/06/2001;36.71567154;14.42571545;23.47999954;2.960996866
12/06/2001;37.2465477;14.52018547;22.95000076;3.00158906
13/06/2001;37.20687866;14.53735924;23.60000038;3.07676053
14/06/2001;36.84381104;14.45720291;22.48999977;2.785847425
15/06/2001;36.8804245;14.47438145;22.60000038;2.830198288
18/06/2001;37.29232025;14.62897968;23.19000053;2.691132069
19/06/2001;36.72177887;14.68050003;23;2.673090458
20/06/2001;36.18479919;14.95819569;23.86000061;2.609946728
21/06/2001;35.49526596;15.17290497;24.51000023;2.739241123
22/06/2001;35.62951279;14.89235115;24.12000084;2.552064896
25/06/2001;35.29695511;14.84654427;23.64999962;2.602429628
26/06/2001;35.08644104;14.73489285;23.75;2.742248058
27/06/2001;34.8728714;14.31406307;22.60000038;2.743752003
28/06/2001;35.34881973;14.48869705;23.20000076;2.887328863
29/06/2001;34.81184769;13.74150085;23.57999992;2.950472832
02/07/2001;35.77597046;14.13370514;23.47999954;2.891087294
03/07/2001;35.64476776;14.10508442;26.65999985;2.818171263
05/07/2001;35.52578354;14.01060486;26.23999977;2.81140542
06/07/2001;34.96440125;13.54396725;23.89999962;2.736234426
09/07/2001;35.04066849;13.71287441;24.29999924;2.702407598
10/07/2001;34.06435013;13.85601425;22.98999977;2.704662561
11/07/2001;34.09181976;14.42819309;22.10000038;2.694138765
12/07/2001;34.63793564;14.08890915;20.89999962;2.73322773
13/07/2001;34.24132538;14.26142979;19.77000046;2.901611567
16/07/2001;33.57619476;14.30455685;18.95000076;2.80990243
17/07/2001;34.43353271;14.41957092;19.85000038;3.011361599
18/07/2001;34.7050705;14.82211208;19.17000008;2.870039463
19/07/2001;34.97963715;14.83648109;19.62000084;2.892590761
20/07/2001;34.47623062;15.03200626;20;2.828695297
23/07/2001;33.96365738;14.7818594;18.70000076;2.635504723
24/07/2001;32.66394806;14.74447441;17.01000023;2.666324854
25/07/2001;33.67076874;14.80772972;17.88999939;2.823433638
26/07/2001;34.00638962;14.90836811;18.30999947;2.834708929
27/07/2001;34.0124855;14.81923866;18.80999947;2.846736431
30/07/2001;33.33211517;15.03487968;18.89999962;2.660311699
31/07/2001;34.13452148;15.40867233;19;2.549809694
01/08/2001;33.86604309;15.26777744;19.90999985;2.528009892
02/08/2001;33.95451736;14.95149994;19.37999916;2.481404066
03/08/2001;34.08876038;15.02625656;18.89999962;2.367143631
06/08/2001;33.36872864;14.86811733;18.80999947;2.395708561
07/08/2001;33.82028198;15.12114239;19;2.495686769
08/08/2001;33.00871658;14.91411495;18.39999962;2.386687994
09/08/2001;32.80429077;14.82786083;17.76000023;2.482156038
10/08/2001;33.5151825;15.03200626;19;2.50170064
13/08/2001;33.71348953;15.10964203;18.61000061;2.525003433
14/08/2001;33.28634262;15.03487968;18.5;2.597919703
15/08/2001;33.4541626;15.28216076;18.5;2.637760401
16/08/2001;33.26194382;15.23040199;17.94000053;2.568602562
17/08/2001;33.15821075;15.03487968;16.76000023;2.446825027
20/08/2001;33.13380432;15.23614693;18.10000038;2.438556194
21/08/2001;32.87447739;15.16426849;18.20999908;2.455845594
22/08/2001;33.8802948;15.22465134;18.87000084;2.467121124
23/08/2001;33.4298439;15.03487968;19.11000061;2.393453598
24/08/2001;34.12710953;15.09525871;19.60000038;2.552064896
27/08/2001;34.10861206;14.96874523;19.15999985;2.654298067
28/08/2001;33.72294235;14.77898407;18.5;2.815916061
29/08/2001;32.93615341;14.66396809;18.68000031;2.882818937
30/08/2001;32.14941025;14.46845436;18.88999939;2.830198288
31/08/2001;32.11855316;14.29018784;18.75;2.785096169
04/09/2001;32.25740051;14.54895973;18.36000061;2.691883326
05/09/2001;32.39624405;14.84511757;17.60000038;2.599422932
06/09/2001;32.05684662;14.36493301;16.10000038;2.630994797
07/09/2001;31.09422302;14.06016064;15.85000038;2.567099571
10/09/2001;31.53232765;14.24130249;16.63999939;2.452838898
17/09/2001;29.44971275;14.52883244;15.39999962;2.328054905
18/09/2001;29.04553795;14.49432945;14.76000023;2.134864092
19/09/2001;28.5241127;14.26142979;14.52999973;2.14238143
20/09/2001;27.86692429;13.94227314;14;1.924384832
21/09/2001;26.83642578;13.52823353;12.89999962;2.044658661
24/09/2001;28.2834568;13.58574104;13.5;1.973246455
25/09/2001;28.73392677;13.93077469;14.10000038;1.883040547
26/09/2001;28.8110466;14.34768772;14.11999989;1.83944118
27/09/2001;29.71507454;14.66109753;16;1.830420732
28/09/2001;30.3598938;14.90836811;17.46999931;2.046162605
01/10/2001;29.88476372;15.17864609;16.95999908;1.887550712
02/10/2001;29.99273872;15.35403633;17.20000076;1.935660601
03/10/2001;30.72707176;14.79336071;17.79999924;2.240855694
04/10/2001;30.74249077;14.85374832;18.96999931;2.38593626
05/10/2001;30.77334595;14.94574928;18.37999916;2.256642103
08/10/2001;30.37532425;14.88535976;19.20999908;2.285958529
09/10/2001;30.3722496;14.67259026;18.52000046;2.373157263
10/10/2001;31.42126465;15.13838577;19.68000031;2.416756392
11/10/2001;32.74796677;14.7284708;20.20000076;2.621974468
12/10/2001;32.23887253;14.98538876;19.14999962;2.464866161
15/10/2001;32.64614868;15.30005741;19.48999977;2.481404066
16/10/2001;32.76646805;15.43861103;19.45000076;2.621974468
17/10/2001;31.82852364;15.36355495;18.67000008;2.630994797
18/10/2001;31.76373672;15.17304325;19.45000076;2.727965832
19/10/2001;31.52308083;15.31448364;21.14999962;2.640015602
22/10/2001;33.13363647;15.75617218;22.37000084;2.755779266
23/10/2001;32.82817841;15.54831314;21.52000046;2.788854361
24/10/2001;32.92073822;15.6580143;22.79999924;2.919652224
25/10/2001;33.53782272;15.74751568;23.14999962;2.900859594
26/10/2001;33.88647461;15.67534065;22.56999969;2.848991632
29/10/2001;32.86829376;15.59739208;21.48999977;2.824936628
30/10/2001;32.50731659;15.52522755;20.47999954;2.743752003
31/10/2001;32.20495605;15.29428101;21.73999977;2.717441559
01/11/2001;32.78807068;15.56563473;22.75;2.878308058
02/11/2001;33.38355255;15.71864414;22.87999916;2.927921295
05/11/2001;34.0931778;15.53099728;22.14999962;3.005347729
06/11/2001;33.747612;15.66090965;21.92000008;3.027147293
